,id,location name,type,area,price,over-valued,under-valued,normal
4105,2729673,Quinta da Marinha,houses,2669.0,2347260,0.0,1.0,0.0
4106,2729835,Quinta da Marinha,houses,400.0,2100000,0.0,1.0,0.0
4107,2732812,Nagüeles,houses,428.0,1295000,0.0,0.0,1.0
4108,2733314,Alenquer,apartments,106.0,84900,0.0,0.0,1.0
4109,2733445,Alenquer,houses,314.0,750000,1.0,0.0,0.0
4110,2735459,Quinta da Marinha,houses,91.0,478000,0.0,1.0,0.0
4111,2735584,Quinta da Marinha,houses,91.0,478000,0.0,1.0,0.0
4112,2735615,Alenquer,houses,242.0,130900,0.0,1.0,0.0
4113,2746723,Nagüeles,houses,241.0,450000,0.0,1.0,0.0
4114,2752582,Nagüeles,houses,241.0,450000,0.0,1.0,0.0
4115,2756621,Nagüeles,houses,241.0,450000,0.0,1.0,0.0
4116,2757041,Alenquer,houses,70.0,26650,0.0,1.0,0.0
4117,2759579,Nagüeles,houses,400.0,2500000,1.0,0.0,0.0
4118,2759975,Alenquer,houses,144.0,170000,1.0,0.0,0.0
4119,2761244,Nagüeles,houses,620.0,1100000,0.0,1.0,0.0
